offer_id,unit_price_in_per_1m,unit_price_out_per_1m,cache_read_price_per_1m,cache_write_price_per_1m,currency,billing_mode,pricing_source
122,0.3,0.6,,,CNY,token,tier1_or_official_forwarded
123,0.5,1.0,,,CNY,token,tier1_or_official_forwarded
124,1.0,1.0,,,CNY,token,tier1_or_official_forwarded
125,0.5,0.5,,,CNY,token,tier1_or_official_forwarded
126,0.8,1.6,,,CNY,token,tier1_or_official_forwarded
127,0.6,1.2,,,CNY,token,tier1_or_official_forwarded
128,0.3,0.6,,,CNY,token,tier1_or_official_forwarded
129,0.5,1.0,,,CNY,token,tier1_or_official_forwarded
130,0.5,1.0,,,CNY,token,tier1_or_official_forwarded
131,0.5,1.0,,,CNY,token,tier1_or_official_forwarded
132,0.8,0.8,,,CNY,token,tier1_or_official_forwarded
133,0.125,0.125,,,CNY,token,tier1_or_official_forwarded
134,0.5,0.5,,,CNY,token,tier1_or_official_forwarded
135,1.0,2.0,,,CNY,token,tier1_or_official_forwarded
136,1.5,3.0,,,CNY,token,tier1_or_official_forwarded
137,0.3,0.6,,,CNY,token,tier1_or_official_forwarded
138,2.0,6.0,,,USD,token,tier1_or_official_forwarded
139,0.1,0.3,,,USD,token,tier1_or_official_forwarded
140,0.15,0.15,,,USD,token,tier1_or_official_forwarded
141,0.3,0.9,,,USD,token,tier1_or_official_forwarded
142,2.5,10.0,,,USD,token,tier1_or_official_forwarded
143,0.15,0.6,,,USD,token,tier1_or_official_forwarded
144,3.0,15.0,,,USD,token,tier1_or_official_forwarded
145,0.3,0.5,,,USD,token,tier1_or_official_forwarded
146,0.1,0.2,,,CNY,token,tier1_or_official_forwarded
148,0.2,0.8,,,USD,token,tier1_or_official_forwarded
149,0.27,1.1,,,USD,token,tier1_or_official_forwarded
152,2.0,8.0,,,USD,token,tier1_or_official_forwarded
153,0.3,0.6,,,USD,token,tier1_or_official_forwarded
154,0.05,0.0,,,CNY,token,tier1_or_official_forwarded
155,0.1,0.3,,,USD,token,tier1_or_official_forwarded
156,0.3,0.6,,,CNY,token,tier1_or_official_forwarded
157,0.5,1.5,,,USD,token,tier1_or_official_forwarded
158,0.1,0.3,,,USD,token,tier1_or_official_forwarded
159,0.014,0.28,,,USD,token,tier1_or_official_forwarded
160,0.435,0.87,,,USD,token,tier1_or_official_forwarded
161,0.1,0.3,,,USD,token,tier1_or_official_forwarded
162,0.1,0.3,,,USD,token,tier1_or_official_forwarded
163,0.05,0.05,,,USD,token,tier1_or_official_forwarded
164,0.5,1.0,,,USD,token,tier1_or_official_forwarded
165,0.05,0.1,,,USD,token,tier1_or_official_forwarded
166,0.05,0.05,,,USD,token,tier1_or_official_forwarded
167,0.1,0.3,,,USD,token,tier1_or_official_forwarded
168,0.05,0.1,,,USD,token,tier1_or_official_forwarded
169,0.05,0.1,,,USD,token,tier1_or_official_forwarded
170,0.05,0.1,,,USD,token,tier1_or_official_forwarded
171,0.2,0.5,,,USD,token,tier1_or_official_forwarded
172,0.05,0.1,,,USD,token,tier1_or_official_forwarded
173,0.1,0.2,,,USD,token,tier1_or_official_forwarded
174,0.15,0.3,,,USD,token,tier1_or_official_forwarded
175,0.5,1.0,,,USD,token,tier1_or_official_forwarded
176,0.2,0.4,,,USD,token,tier1_or_official_forwarded
177,3.0,15.0,,,USD,token,tier1_or_official_forwarded
178,2.0,8.0,,,USD,token,tier1_or_official_forwarded
179,0.435,0.87,,,CNY,token,tier1_or_official_forwarded
184,0.5,0.8,,,USD,token,tier1_or_official_forwarded
185,0.05,0.05,,,USD,token,tier1_or_official_forwarded
186,0.8,2.0,,,CNY,token,tier1_or_official_forwarded
187,0.3,1.2,,,USD,token,tier1_or_official_forwarded
188,2.0,10.0,,,USD,token,tier1_or_official_forwarded
189,1.0,1.0,,,USD,token,tier1_or_official_forwarded
76,1.0,5.0,,,USD,token,anthropic_forwarded
78,5.0,25.0,,,USD,token,openrouter
79,5.0,25.0,,,USD,token,openrouter
147,3.0,15.0,,,USD,token,openrouter
77,3.0,15.0,,,USD,token,openrouter
